colour	x	key	showSelected2	showSelected3	group
#00BFC4	-2.61714911693707	1	35	prediction	282
#00BFC4	-2.61714911693707	1	36	prediction	283
#00BFC4	-2.61714911693707	1	37	prediction	284
#00BFC4	-2.61714911693707	1	38	prediction	285
#00BFC4	-2.61714911693707	1	39	prediction	286
#00BFC4	-2.61714911693707	1	40	prediction	287
#00BFC4	-2.5759257171303	1	0	prediction	288
#00BFC4	-2.5759257171303	1	1	prediction	289
#00BFC4	-2.5759257171303	1	2	prediction	290
#00BFC4	-2.5759257171303	1	3	prediction	291
#00BFC4	-2.5759257171303	1	4	prediction	292
#00BFC4	-2.5759257171303	1	5	prediction	293
#00BFC4	-2.5759257171303	1	6	prediction	294
#00BFC4	-2.5759257171303	1	7	prediction	295
#00BFC4	-2.5759257171303	1	8	prediction	296
#00BFC4	-2.5759257171303	1	9	prediction	297
#00BFC4	-2.5759257171303	1	10	prediction	298
#00BFC4	-2.5759257171303	1	11	prediction	299
#00BFC4	-2.5759257171303	1	12	prediction	300
#00BFC4	-2.5759257171303	1	13	prediction	301
#00BFC4	-2.5759257171303	1	14	prediction	302
#00BFC4	-2.5759257171303	1	15	prediction	303
#00BFC4	-2.5759257171303	1	16	prediction	304
#00BFC4	-2.5759257171303	1	17	prediction	305
#00BFC4	-2.5759257171303	1	18	prediction	306
#00BFC4	-2.5759257171303	1	19	prediction	307
#00BFC4	-2.5759257171303	1	20	prediction	308
#00BFC4	-2.5759257171303	1	21	prediction	309
#00BFC4	-2.5759257171303	1	22	prediction	310
#00BFC4	-2.5759257171303	1	23	prediction	311
#00BFC4	-2.5759257171303	1	24	prediction	312
#00BFC4	-2.5759257171303	1	25	prediction	313
#00BFC4	-2.5759257171303	1	26	prediction	314
#00BFC4	-2.5759257171303	1	27	prediction	315
#00BFC4	-2.5759257171303	1	28	prediction	316
#00BFC4	-2.5759257171303	1	29	prediction	317
#00BFC4	-2.5759257171303	1	30	prediction	318
#00BFC4	-2.5759257171303	1	31	prediction	319
#00BFC4	-2.5759257171303	1	32	prediction	320
#00BFC4	-2.5759257171303	1	33	prediction	321
#00BFC4	-2.5759257171303	1	34	prediction	322
#00BFC4	-2.5759257171303	1	35	prediction	323
#00BFC4	-2.5759257171303	1	36	prediction	324
#00BFC4	-2.5759257171303	1	37	prediction	325
#00BFC4	-2.5759257171303	1	38	prediction	326
#00BFC4	-2.5759257171303	1	39	prediction	327
#00BFC4	-2.5759257171303	1	40	prediction	328
#00BFC4	-2.54834552574903	1	0	prediction	329
#00BFC4	-2.54834552574903	1	1	prediction	330
#00BFC4	-2.54834552574903	1	2	prediction	331
#00BFC4	-2.54834552574903	1	3	prediction	332
#00BFC4	-2.54834552574903	1	4	prediction	333
#00BFC4	-2.54834552574903	1	5	prediction	334
#00BFC4	-2.54834552574903	1	6	prediction	335
#00BFC4	-2.54834552574903	1	7	prediction	336
#00BFC4	-2.54834552574903	1	8	prediction	337
#00BFC4	-2.54834552574903	1	9	prediction	338
#00BFC4	-2.54834552574903	1	10	prediction	339
#00BFC4	-2.54834552574903	1	11	prediction	340
#00BFC4	-2.54834552574903	1	12	prediction	341
#00BFC4	-2.54834552574903	1	13	prediction	342
#00BFC4	-2.54834552574903	1	14	prediction	343
#00BFC4	-2.54834552574903	1	15	prediction	344
#00BFC4	-2.54834552574903	1	16	prediction	345
#00BFC4	-2.54834552574903	1	17	prediction	346
#00BFC4	-2.54834552574903	1	18	prediction	347
#00BFC4	-2.54834552574903	1	19	prediction	348
#00BFC4	-2.54834552574903	1	20	prediction	349
#00BFC4	-2.54834552574903	1	21	prediction	350
#00BFC4	-2.54834552574903	1	22	prediction	351
#00BFC4	-2.54834552574903	1	23	prediction	352
#00BFC4	-2.54834552574903	1	24	prediction	353
#00BFC4	-2.54834552574903	1	25	prediction	354
#00BFC4	-2.54834552574903	1	26	prediction	355
#00BFC4	-2.54834552574903	1	27	prediction	356
#00BFC4	-2.54834552574903	1	28	prediction	357
#00BFC4	-2.54834552574903	1	29	prediction	358
#00BFC4	-2.54834552574903	1	30	prediction	359
#00BFC4	-2.54834552574903	1	31	prediction	360
#00BFC4	-2.54834552574903	1	32	prediction	361
#00BFC4	-2.54834552574903	1	33	prediction	362
#00BFC4	-2.54834552574903	1	34	prediction	363
#00BFC4	-2.54834552574903	1	35	prediction	364
#00BFC4	-2.54834552574903	1	36	prediction	365
#00BFC4	-2.54834552574903	1	37	prediction	366
#00BFC4	-2.54834552574903	1	38	prediction	367
#00BFC4	-2.54834552574903	1	39	prediction	368
#00BFC4	-2.54834552574903	1	40	prediction	369
#00BFC4	-2.53761371830478	1	0	prediction	370
#00BFC4	-2.53761371830478	1	1	prediction	371
#00BFC4	-2.53761371830478	1	2	prediction	372
#00BFC4	-2.53761371830478	1	3	prediction	373
#00BFC4	-2.53761371830478	1	4	prediction	374
#00BFC4	-2.53761371830478	1	5	prediction	375
#00BFC4	-2.53761371830478	1	6	prediction	376
#00BFC4	-2.53761371830478	1	7	prediction	377
#00BFC4	-2.53761371830478	1	8	prediction	378
#00BFC4	-2.53761371830478	1	9	prediction	379
#00BFC4	-2.53761371830478	1	10	prediction	380
#00BFC4	-2.53761371830478	1	11	prediction	381
#00BFC4	-2.53761371830478	1	12	prediction	382
#00BFC4	-2.53761371830478	1	13	prediction	383
#00BFC4	-2.53761371830478	1	14	prediction	384
#00BFC4	-2.53761371830478	1	15	prediction	385
#00BFC4	-2.53761371830478	1	16	prediction	386
#00BFC4	-2.53761371830478	1	17	prediction	387
#00BFC4	-2.53761371830478	1	18	prediction	388
#00BFC4	-2.53761371830478	1	19	prediction	389
#00BFC4	-2.53761371830478	1	20	prediction	390
#00BFC4	-2.53761371830478	1	21	prediction	391
#00BFC4	-2.53761371830478	1	22	prediction	392
#00BFC4	-2.53761371830478	1	23	prediction	393
#00BFC4	-2.53761371830478	1	24	prediction	394
#00BFC4	-2.53761371830478	1	25	prediction	395
#00BFC4	-2.53761371830478	1	26	prediction	396
#00BFC4	-2.53761371830478	1	27	prediction	397
#00BFC4	-2.53761371830478	1	28	prediction	398
#00BFC4	-2.53761371830478	1	29	prediction	399
#00BFC4	-2.53761371830478	1	30	prediction	400
#00BFC4	-2.53761371830478	1	31	prediction	401
#00BFC4	-2.53761371830478	1	32	prediction	402
#00BFC4	-2.53761371830478	1	33	prediction	403
#00BFC4	-2.53761371830478	1	34	prediction	404
#00BFC4	-2.53761371830478	1	35	prediction	405
#00BFC4	-2.53761371830478	1	36	prediction	406
#00BFC4	-2.53761371830478	1	37	prediction	407
#00BFC4	-2.53761371830478	1	38	prediction	408
#00BFC4	-2.53761371830478	1	39	prediction	409
#00BFC4	-2.53761371830478	1	40	prediction	410
#00BFC4	-2.49451851379126	1	0	prediction	411
#00BFC4	-2.49451851379126	1	1	prediction	412
#00BFC4	-2.49451851379126	1	2	prediction	413
